,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,label,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,pred_type
416,758,Prediction set,detrital zircon,19-12-11-456,detrital zircon (<150Ma),67.0,22.03424340551876,,11.7745161290323,15.3401117246626,0.226928571428571,0.0170764119601329,0.00552631578947368,0.597969230769231,0.692285714285714,58.5720448179272,1.71304379137478,2.28415448646194,0.0
417,759,Prediction set,detrital zircon,19-12-11-457,detrital zircon (<150Ma),69.5,19.19018749364379,,15.1558064516129,13.6190772833151,0.156857142857143,0.0209302325581395,0.00651315789473684,0.567015384615385,0.536057142857143,56.7588795518207,1.1989460465142,1.91353690101187,0.0
418,760,Prediction set,detrital zircon,19-12-11-465,detrital zircon (<150Ma),16.5,13.05985449055995,,4.06258064516129,9.11737061035836,0.3105,0.0196013289036545,0.00835526315789474,0.357476923076923,0.406514285714286,64.7264985994398,3.90706978395834,3.9508941440532,0.0
419,761,Prediction set,detrital zircon,19-12-11-473,detrital zircon (<150Ma),62.8,16.57048415107791,,11.8106451612903,11.421114302781,0.108,0.0137541528239203,0.00498684210526316,0.418646153846154,0.585657142857143,52.5902521008403,0.625216804791029,1.25009778170593,0.0
420,762,Prediction set,detrital zircon,19-12-11-474,detrital zircon (<150Ma),70.0,23.93556030230581,,15.5064516129032,16.8611915281753,0.187357142857143,0.018671096345515,0.00568421052631579,0.689353846153846,0.6892,60.5378151260504,1.18370738540774,2.23067894742785,0.0
421,763,Prediction set,detrital zircon,19-12-11-476,detrital zircon (<150Ma),18.7,15.907820731108993,,6.58387096774194,11.3241684859692,0.290357142857143,0.0234551495016611,0.00936184210526316,0.495569230769231,0.401885714285714,54.7390476190476,2.2017358020852,2.20162700660472,0.0
422,764,Prediction set,detrital zircon,19-12-11-477,detrital zircon (<150Ma),68.0,28.33592515512413,,11.7554838709677,20.867866577114,0.159714285714286,0.0594019933554817,0.0117105263157895,1.05083076923077,0.553314285714286,51.1032492997199,1.70815499401784,1.06966522753818,0.0
423,765,Prediction set,detrital zircon,19-12-11-479,detrital zircon (<150Ma),18.2,11.188249110703588,,4.29096774193548,7.6772608855249,0.324642857142857,0.0173421926910299,0.00580263157894737,0.291138461538462,0.366857142857143,62.6312605042017,3.81559182054068,3.84684971565972,0.0
424,766,Prediction set,detrital zircon,19-12-11-48,detrital zircon (<150Ma),62.4,17.210140228653483,,10.9622580645161,12.3299311542001,0.0993571428571429,0.0267774086378738,0.00815789473684211,0.513169230769231,0.485657142857143,57.3349019607843,0.671511057640739,0.893223127684671,0.0
425,767,Prediction set,detrital zircon,19-12-11-481,detrital zircon (<150Ma),86.8,10.312024265265723,,4.07096774193548,7.15558590923476,0.277142857142857,0.0119601328903654,0.00607894736842105,0.279938461538462,0.320514285714286,59.1131092436975,2.57362265084529,2.82184456057943,0.0
426,768,Prediction set,detrital zircon,19-12-11-482,detrital zircon (<150Ma),61.4,10.83555865243763,,7.79451612903226,7.715971576836,0.0511428571428571,0.019202657807309,0.00692105263157895,0.309353846153846,0.328457142857143,55.6679551820728,0.318726059311437,0.540499874062018,0.0
427,769,Prediction set,detrital zircon,19-12-11-485,detrital zircon (<150Ma),65.3,23.80698445255833,,11.2741935483871,17.1920589078029,0.119642857142857,0.0384717607973422,0.0138157894736842,0.739261538461538,0.6328,54.6457142857143,0.96816817202656,1.14515054815141,0.0
428,770,Prediction set,detrital zircon,19-12-11-489,detrital zircon (<150Ma),68.0,15.801598106242924,,8.74516129032258,11.540098520375,0.132857142857143,0.0293687707641196,0.0134210526315789,0.529107692307692,0.371771428571429,52.7098599439776,0.789420526276273,0.91310710384586,0.0
429,771,Prediction set,detrital zircon,19-12-11-492,detrital zircon (<150Ma),71.2,30.92803204205493,,12.4806451612903,21.8138518028316,0.247,0.0348172757475083,0.0117763157894737,0.877969230769231,0.921142857142857,56.9549579831933,2.0987214870844,3.06950147127848,0.0
